feature,importance
occupancy,0.16504745
consumption_kwh_rolling_mean_3,0.09529421
consumption_kwh_rolling_max_3,0.0696821
hour,0.066432305
consumption_kwh_diff_1,0.06444604
consumption_kwh_lag_24,0.042606715
consumption_kwh_rolling_min_3,0.038690537
consumption_kwh_diff_24,0.023460675
consumption_kwh_lag_2,0.020172052
hour_cos,0.010643215
consumption_kwh_rolling_mean_12,0.01008887
consumption_kwh_rolling_max_6,0.00904125
consumption_kwh_lag_1,0.008777718
consumption_kwh_rolling_std_3,0.0087410025
time_period_night,0.007855317
temperature,0.0074477424
consumption_kwh_rolling_max_12,0.005303015
consumption_kwh_rolling_std_6,0.002469178
hour_sin,0.002304999
consumption_kwh_rolling_mean_24,0.0013380658
consumption_kwh_rolling_min_6,0.0011137744
consumption_kwh_rolling_mean_6,0.0008531116
consumption_kwh_lag_12,0.0007273425
consumption_kwh_lag_3,0.0007040938
consumption_kwh_rolling_std_12,0.00066689355
day_of_year,0.0006082639
consumption_kwh_rolling_std_24,0.0005784384
consumption_kwh_lag_6,0.0005489018
cooking,0.00046215203
consumption_kwh_rolling_max_24,0.00044926218
humidity,0.0004325133
consumption_kwh_rolling_min_12,0.0002495367
month,0.00022867827
day_of_week,0.00016524235
ac_running,0.00013780518
day_sin,0.00012763763
week_of_year,0.00010608202
time_period_morning,9.4038965e-05
day_cos,6.825526e-05
time_period_evening,5.0069477e-05
month_cos,4.8420276e-05
consumption_kwh_rolling_min_24,4.445602e-05
month_sin,2.9601315e-05
lighting,2.7215072e-05
season_summer,1.645207e-05
is_weekend,1.2190567e-05
is_month_end,9.406241e-06
entertainment,5.0935846e-06
is_month_start,4.7900908e-06
season_post_monsoon,0.0
season_winter,0.0
